uuid,dem_education_level,dem_full_time_job,normalized_job_code
ca9ed810-dcb8-0133-8981-0a81e8b09a82,low,yes,cc2b26cc436bea36bda3bdd7367c411a
1aa394e0-de0f-0133-f6e2-0a81e8b09a82,high,yes,2ca138b991c50dc6696238e5ad800142
5a5158c0-d9b3-0133-1b13-0a81e8b09a82,,yes,cf2d4db3c258faa2499bdeeeed6721a5
b98bbaf0-d96e-0133-06ef-0a81e8b09a82,no,yes,a003702c0cea282e17967772dd83de5e
59995f50-ddfe-0133-cae9-0a81e8b09a82,no,no,
2456bcf0-d8dc-0133-9b88-0a81e8b09a82,low,no,
3b67ca50-d9c7-0133-9519-0a81e8b09a82,medium,no,
aea66f50-da5c-0133-132d-0a81e8b09a82,,yes,dac2e921c1f887d9efc4c06fa33c1397
f8f95970-da28-0133-75d2-0a81e8b09a82,medium,yes,90c5430dbc810aec8695af2f1f4c42e8
f8fca690-de54-0133-23b6-0a81e8b09a82,medium,yes,7bb15eefb19ed09c59349baad7e8469e
a96ac600-da2f-0133-a7cd-0a81e8b09a82,medium,yes,ec3d88b2fd083b870b8c5a603898ed39
8dd40a20-de67-0133-95b6-0a81e8b09a82,high,no,
5586f290-d972-0133-f6e5-0a81e8b09a82,high,yes,1f8576bdffa64f492405d02b842c41a6
cd77ebc0-de28-0133-657e-0a81e8b09a82,medium,yes,07b7555fa790debaf5b04d1409ad5f11
dcab3aa0-dc79-0133-412b-0a81e8b09a82,medium,no,
2fb4da70-dcef-0133-cafd-0a81e8b09a82,low,no,
73771070-d8ec-0133-ae53-0a81e8b09a82,high,yes,edc64316da9707432443c7a4461abe6c
3aa979b0-d93d-0133-c00b-0a81e8b09a82,medium,yes,847165cfda6b1dc82ae22b967da8af2f
11c6e300-deb8-0133-5b60-0a81e8b09a82,high,yes,5e93fd1a58c8a67b295f69d87d1a940d
ed7e4bd0-d987-0133-3f9e-0a81e8b09a82,high,yes,6cf4d336112984368f83181ac5ffe948
b5d05310-db4b-0133-8b2f-0a81e8b09a82,high,yes,e2f68bf748aea2c7d2254550c0c92b23
121a3240-da4d-0133-f0f0-0a81e8b09a82,low,yes,07b7555fa790debaf5b04d1409ad5f11
4d9509f0-da6a-0133-09b5-0a81e8b09a82,medium,yes,d4624ed8068d24948e18303212593cd6
8dfcc530-db0e-0133-8410-0a81e8b09a82,high,no,
048fbb80-dc5a-0133-a54f-0a81e8b09a82,no,no,
ca337e10-da5d-0133-641c-0a81e8b09a82,medium,no,
2cc5e840-d934-0133-4268-0a81e8b09a82,low,no,
4eaae960-da52-0133-f491-0a81e8b09a82,medium,no,
d9175790-dc02-0133-8239-0a81e8b09a82,,no,
ba68f010-da39-0133-ede7-0a81e8b09a82,medium,yes,1a281bf4bd1fe9b2a6e464e508bea167
31d510e0-dc3d-0133-6587-0a81e8b09a82,low,yes,5db2c8d6539f983e1ca3d7c5b939e190
279391e0-d8bb-0133-07fa-0a81e8b09a82,medium,no,
e3950230-dd3f-0133-216f-0a81e8b09a82,high,no,
28c237e0-da4c-0133-533b-0a81e8b09a82,medium,no,
902829b0-de49-0133-6b2f-0a81e8b09a82,no,yes,800b621aab5dac18f4caef621fa43a49
c46dd5d0-daf5-0133-326e-0a81e8b09a82,high,yes,2f704538f6c9d6459a97314be98124e2
674d27f0-db16-0133-e93d-0a81e8b09a82,,no,
e2999ae0-dad7-0133-12f2-0a81e8b09a82,medium,no,
482c72f0-d902-0133-c73e-0a81e8b09a82,low,no,
9a2478d0-da5f-0133-c83a-0a81e8b09a82,low,yes,d4624ed8068d24948e18303212593cd6
8034c360-db44-0133-8ef7-0a81e8b09a82,low,no,
88424430-defa-0133-0f5f-0a81e8b09a82,high,yes,edc64316da9707432443c7a4461abe6c
5e4592b0-de0c-0133-f22f-0a81e8b09a82,low,yes,76b0ba6af40991629e20dff36edd02a5
d73155f0-d9ba-0133-fe9f-0a81e8b09a82,no,yes,04c82eae29e1c4a30eac0710b74ab276
1926eaf0-dd85-0133-d85d-0a81e8b09a82,no,no,
52a3acf0-da6f-0133-e888-0a81e8b09a82,low,yes,a4d5b8b38f9513825d0d94a981ebe962
411d4bc0-deef-0133-795b-0a81e8b09a82,medium,no,
154739b0-dced-0133-c4db-0a81e8b09a82,high,yes,3161063d378eecc4581c5cdee46a2a6c
10e5df00-dd3a-0133-0ead-0a81e8b09a82,medium,yes,781f5d3a80812531fdc81125a527a626
a5396df0-d98e-0133-f2a3-0a81e8b09a82,high,yes,781f5d3a80812531fdc81125a527a626
a5355130-da8c-0133-c7ee-0a81e8b09a82,medium,no,
39d48260-dd36-0133-0358-0a81e8b09a82,high,yes,38a15ceadcdd6d4db16a88fa1a72b083
b63ed850-dcb8-0133-8926-0a81e8b09a82,medium,yes,5e93fd1a58c8a67b295f69d87d1a940d
1afd0e10-d9ae-0133-8d6b-0a81e8b09a82,,no,
f4824dd0-dafa-0133-a87a-0a81e8b09a82,no,no,
4e1ac160-d982-0133-758d-0a81e8b09a82,low,yes,e55556364d2096578fd153e9800e826f
96c62760-d8d4-0133-62ed-0a81e8b09a82,,yes,d24ffac92c24fb0e7bd1abc5fc3b6254
fd9e7290-dad7-0133-1337-0a81e8b09a82,high,yes,edc64316da9707432443c7a4461abe6c
2b4a10d0-db2d-0133-d818-0a81e8b09a82,,no,
c9337360-db95-0133-d531-0a81e8b09a82,high,yes,b24ece3300d2f8ab34f9553e531183d6
c75ffdb0-d95d-0133-765b-0a81e8b09a82,high,yes,04c82eae29e1c4a30eac0710b74ab276
9ffc7390-dba5-0133-259b-0a81e8b09a82,high,yes,861a9b9151e11362eb3c77ca914172d0
ce2197d0-da69-0133-065d-0a81e8b09a82,high,yes,049a3f3a2b5f85cb2971ba77ad66e10c
35610710-dc10-0133-0ad8-0a81e8b09a82,high,yes,ccd7528fb38f16077360c5b67c9700c4
76c4d450-da3b-0133-dedb-0a81e8b09a82,low,yes,3ddea1b52e520996e4ec9fb70dc8b86b
3c862650-da54-0133-8d15-0a81e8b09a82,medium,yes,f6fbd9dea1fa8f899683ade8e7d87d60
89b205e0-d975-0133-3945-0a81e8b09a82,high,yes,0de6170ccbed08e62b2e5862d5846a43
ccae52d0-dc67-0133-f45f-0a81e8b09a82,medium,yes,996da29c84f5eed00da40c230f4c4078
d5ce2260-dbb3-0133-bcd9-0a81e8b09a82,high,yes,477b53ef09d37f098d5ed74f47fcbaec
2bc14200-dcbd-0133-5a24-0a81e8b09a82,low,no,
f6c99d10-d8f8-0133-b5eb-0a81e8b09a82,medium,no,
5c67f030-dcc7-0133-e8f6-0a81e8b09a82,low,yes,dac2e921c1f887d9efc4c06fa33c1397
28c4dea0-da77-0133-7804-0a81e8b09a82,medium,no,
9e99d970-d9b8-0133-d807-0a81e8b09a82,high,yes,a4d5b8b38f9513825d0d94a981ebe962
079d2660-daf1-0133-40dd-0a81e8b09a82,high,no,
2dfa5f60-d941-0133-c589-0a81e8b09a82,,yes,499f9d9b6722342608656559b15abd90
ad832440-dae3-0133-3472-0a81e8b09a82,medium,yes,d06dfb43c95b585a89ae556c9221b573
11e48430-d9cc-0133-0caa-0a81e8b09a82,,no,
0b072e10-daf8-0133-9680-0a81e8b09a82,high,yes,c1b670eba9ccb65e7c99f7da116d5b9c
365ce720-d9bb-0133-b3f4-0a81e8b09a82,high,yes,76b0ba6af40991629e20dff36edd02a5
720f84e0-da1a-0133-ac9e-0a81e8b09a82,high,no,
cbd8fe30-dbb5-0133-49be-0a81e8b09a82,medium,no,
55dc1140-da1b-0133-af90-0a81e8b09a82,medium,no,
9943e950-dd22-0133-9adf-0a81e8b09a82,medium,yes,90c5430dbc810aec8695af2f1f4c42e8
18e7ba30-d9dc-0133-9671-0a81e8b09a82,low,no,
fa4adae0-dc1f-0133-dc65-0a81e8b09a82,high,no,
2fae8710-d99f-0133-9ac2-0a81e8b09a82,medium,yes,1f8576bdffa64f492405d02b842c41a6
78156750-d949-0133-1a02-0a81e8b09a82,medium,yes,8a7a3f1bce0958ae9f090683e5a925b7
81630900-dcb8-0133-ef51-0a81e8b09a82,no,no,
2bc31fc0-dacd-0133-7ae0-0a81e8b09a82,high,yes,775190277a849cba701b306a7b374c0a
5fcac6c0-dad5-0133-3d17-0a81e8b09a82,low,yes,7acaed29536648e45ea2b82d45047fcf
4f083df0-da5a-0133-3d06-0a81e8b09a82,low,yes,6408c0d7c7faa4ced47fbc8474698126
ac53fcf0-dcab-0133-cbb5-0a81e8b09a82,low,yes,e2f68bf748aea2c7d2254550c0c92b23
05ec6620-da6f-0133-e6b2-0a81e8b09a82,medium,no,
6c646dd0-d988-0133-9904-0a81e8b09a82,medium,yes,7bb15eefb19ed09c59349baad7e8469e
92c27100-d9d0-0133-c4db-0a81e8b09a82,high,yes,8a7a3f1bce0958ae9f090683e5a925b7
2fe43a00-d941-0133-c58e-0a81e8b09a82,high,no,
49f476a0-dadf-0133-25cc-0a81e8b09a82,medium,yes,02e4c028f64f176de2f54bbc2f5403ce
05fde350-dcaa-0133-c61c-0a81e8b09a82,high,no,
b32e3370-db21-0133-0eff-0a81e8b09a82,medium,yes,d06dfb43c95b585a89ae556c9221b573
28902e30-dcb0-0133-a69e-0a81e8b09a82,low,yes,569da68cdcac43a3b4a0126ea9170570
a3a7b940-d8f1-0133-1602-0a81e8b09a82,high,yes,569da68cdcac43a3b4a0126ea9170570
d24f93e0-da48-0133-3d38-0a81e8b09a82,,no,
1beef120-da09-0133-208d-0a81e8b09a82,high,no,
23492790-d8f9-0133-b638-0a81e8b09a82,medium,no,
691e8910-dd69-0133-d6c7-0a81e8b09a82,low,no,
afad4050-de63-0133-8b76-0a81e8b09a82,low,no,
4c5021d0-da87-0133-e7a4-0a81e8b09a82,high,no,
21ef14d0-dc83-0133-eb54-0a81e8b09a82,high,no,
3de45ce0-dd38-0133-094d-0a81e8b09a82,medium,no,
681aecb0-d959-0133-5c2c-0a81e8b09a82,medium,yes,ced804d972b03cca6d523ec8925a7943
dbc1f9b0-dc10-0133-0d5b-0a81e8b09a82,low,no,
60c5e510-da24-0133-f156-0a81e8b09a82,high,no,
4b9eb3e0-db19-0133-3d8e-0a81e8b09a82,high,yes,41b2978a2c07c5f477e60f26372d6c85
d3e0dad0-da6e-0133-e56e-0a81e8b09a82,medium,yes,d9e964a222fdd9527319ad88adbfaa2e
0df2ad10-dcd2-0133-9cd6-0a81e8b09a82,medium,yes,e2f68bf748aea2c7d2254550c0c92b23
e0f9a3b0-d98c-0133-f061-0a81e8b09a82,low,no,
83b04b10-db3d-0133-da61-0a81e8b09a82,medium,yes,ac47656fd51c2cd8037057262c910dc4
d220fad0-d9a9-0133-828b-0a81e8b09a82,medium,yes,2ee80cf30e2483dfe0947adc0428f8c5
8ba9cd50-d8ad-0133-6e28-0a81e8b09a82,no,yes,775190277a849cba701b306a7b374c0a
