uuid,age,gender,has_children,age_group
28902e30-dcb0-0133-a69e-0a81e8b09a82,27,male,no,26_39
a3a7b940-d8f1-0133-1602-0a81e8b09a82,32,male,no,26_39
d24f93e0-da48-0133-3d38-0a81e8b09a82,14,male,no,14_25
1beef120-da09-0133-208d-0a81e8b09a82,21,male,yes,14_25
23492790-d8f9-0133-b638-0a81e8b09a82,19,male,no,14_25
691e8910-dd69-0133-d6c7-0a81e8b09a82,42,female,yes,40_65
afad4050-de63-0133-8b76-0a81e8b09a82,51,female,yes,40_65
4c5021d0-da87-0133-e7a4-0a81e8b09a82,21,female,no,14_25
21ef14d0-dc83-0133-eb54-0a81e8b09a82,38,female,yes,26_39
3de45ce0-dd38-0133-094d-0a81e8b09a82,26,female,no,26_39
681aecb0-d959-0133-5c2c-0a81e8b09a82,48,female,yes,40_65
dbc1f9b0-dc10-0133-0d5b-0a81e8b09a82,53,male,yes,40_65
60c5e510-da24-0133-f156-0a81e8b09a82,20,male,yes,14_25
4b9eb3e0-db19-0133-3d8e-0a81e8b09a82,56,male,yes,40_65
d3e0dad0-da6e-0133-e56e-0a81e8b09a82,40,male,yes,40_65
0df2ad10-dcd2-0133-9cd6-0a81e8b09a82,43,male,yes,40_65
e0f9a3b0-d98c-0133-f061-0a81e8b09a82,26,female,no,26_39
83b04b10-db3d-0133-da61-0a81e8b09a82,24,female,no,14_25
d220fad0-d9a9-0133-828b-0a81e8b09a82,25,female,no,14_25
8ba9cd50-d8ad-0133-6e28-0a81e8b09a82,39,male,no,26_39
5f326eb0-da6a-0133-0a54-0a81e8b09a82,45,female,no,40_65
4022a650-da6b-0133-1057-0a81e8b09a82,33,male,no,26_39
fb8cd6f0-db3c-0133-4604-0a81e8b09a82,16,female,no,14_25
9a467480-dcaf-0133-a462-0a81e8b09a82,27,male,no,26_39
bd07f440-da51-0133-f0a9-0a81e8b09a82,56,female,no,40_65
917dd2a0-d955-0133-89f1-0a81e8b09a82,24,female,no,14_25
8857b610-dc8e-0133-4bf7-0a81e8b09a82,56,male,yes,40_65
986f8800-da55-0133-476f-0a81e8b09a82,25,male,yes,14_25
13f43320-dd40-0133-21ed-0a81e8b09a82,45,male,yes,40_65
a60c3d40-dcaa-0133-c82f-0a81e8b09a82,45,male,yes,40_65
f30223b0-d950-0133-5b67-0a81e8b09a82,50,male,yes,40_65
cd5c6a90-d9a9-0133-826f-0a81e8b09a82,45,male,yes,40_65
585e45f0-d994-0133-a3f6-0a81e8b09a82,19,female,no,14_25
260b75a0-dc77-0133-38d8-0a81e8b09a82,43,male,no,40_65
cb233740-d906-0133-cee6-0a81e8b09a82,41,female,yes,40_65
a534ee30-d977-0133-0bbc-0a81e8b09a82,23,female,yes,14_25
1f5c2970-da12-0133-929e-0a81e8b09a82,50,male,yes,40_65
ca4b3290-d995-0133-fb70-0a81e8b09a82,20,male,no,14_25
a5e54ad0-df0b-0133-fe8a-0a81e8b09a82,48,female,yes,40_65
2514d3c0-dbde-0133-4c7f-0a81e8b09a82,31,female,yes,26_39
bc41f880-dd4d-0133-fba5-0a81e8b09a82,30,female,no,26_39
14280100-dbea-0133-35b0-0a81e8b09a82,37,female,yes,26_39
169af7e0-da78-0133-7dcc-0a81e8b09a82,17,male,no,14_25
d56d0a60-da6f-0133-eb85-0a81e8b09a82,33,male,yes,26_39
d1b45750-db1c-0133-4d29-0a81e8b09a82,52,male,no,40_65
2d942760-da74-0133-10cb-0a81e8b09a82,36,male,yes,26_39
3bc291f0-db63-0133-06ac-0a81e8b09a82,47,male,no,40_65
e789f760-db38-0133-48be-0a81e8b09a82,29,male,no,26_39
a5b4c5e0-db5b-0133-db35-0a81e8b09a82,38,male,no,26_39
ae9eb000-d8db-0133-9a27-0a81e8b09a82,45,male,yes,40_65
acce6f50-dc15-0133-33e4-0a81e8b09a82,43,male,no,40_65
c8a75460-d9f9-0133-07e9-0a81e8b09a82,32,male,no,26_39
1a19beb0-dc26-0133-4fec-0a81e8b09a82,41,male,yes,40_65
3b9d1070-dc2d-0133-5bfb-0a81e8b09a82,59,female,yes,40_65
9e839220-da3c-0133-6b31-0a81e8b09a82,23,male,no,14_25
